GrandPrix,RiderNumber,RiderName,GridPosition,SprintFinish,MainRaceFinish
Catalunya,54,Fermín Aldeguer,13,23,15
Catalunya,63,Francesco Bagnaia,21,14,7
Catalunya,72,Marco Bezzecchi,12,23,23
Catalunya,73,Álex Márquez,1,23,1
Catalunya,79,Ai Ogura,8,9,6
Catalunya,88,Miguel Oliveira,16,10,9
Catalunya,93,Marc Márquez,3,1,2

San Marino,1,Jorge Martín,11,8,13
San Marino,5,Johann Zarco,19,11,16
San Marino,10,Luca Marini,6,7,7
San Marino,12,Maverick Viñales,17,15,23
San Marino,20,Fabio Quartararo,3,23,8
San Marino,21,Franco Morbidelli,5,4,4
San Marino,23,Enea Bastianini,20,10,23
San Marino,25,Raúl Fernández,14,9,11
San Marino,33,Brad Binder,15,23,10
San Marino,35,Somkiat Chantra,23,19,15
San Marino,36,Joan Mir,12,,23
San Marino,37,Pedro Acosta,9,5,23
San Marino,42,Álex Rins,18,17,23
San Marino,43,Jack Miller,21,14,12
San Marino,49,Fabio Di Giannantonio,7,3,5
San Marino,54,Fermín Aldeguer,10,6,6
San Marino,63,Francesco Bagnaia,8,13,23
San Marino,72,Marco Bezzecchi,1,1,2
San Marino,73,Álex Márquez,2,2,3
San Marino,79,Ai Ogura,15,12,23
San Marino,88,Miguel Oliveira,13,16,9
San Marino,93,Marc Márquez,4,23,1

Japan,1,Jorge Martín,17,23,
Japan,5,Johann Zarco,11,23,9
Japan,10,Luca Marini,7,7,23
Japan,12,Maverick Viñales,,,
Japan,20,Fabio Quartararo,5,6,8
Japan,21,Franco Morbidelli,6,5,5
Japan,23,Enea Bastianini,19,23,11
Japan,25,Raúl Fernández,10,8,7
Japan,33,Brad Binder,16,12,12
Japan,35,Somkiat Chantra,20,17,15
Japan,36,Joan Mir,2,4,3
Japan,37,Pedro Acosta,4,3,17
Japan,42,Álex Rins,17,18,18
Japan,43,Jack Miller,13,23,23
Japan,49,Fabio Di Giannantonio,12,13,13
Japan,54,Fermín Aldeguer,14,11,10
Japan,63,Francesco Bagnaia,1,1,1
Japan,72,Marco Bezzecchi,9,23,4
Japan,73,Álex Márquez,8,10,6
Japan,79,Ai Ogura,13,9,
Japan,88,Miguel Oliveira,15,15,14
Japan,93,Marc Márquez,3,2,2

Indonesia,1,Jorge Martín,,,
Indonesia,5,Johann Zarco,18,23,12
Indonesia,10,Luca Marini,6,13,5
Indonesia,12,Maverick Viñales,,,
Indonesia,20,Fabio Quartararo,8,23,7
Indonesia,21,Franco Morbidelli,13,7,8
Indonesia,23,Enea Bastianini,17,23,23
Indonesia,25,Raúl Fernández,3,3,6
Indonesia,33,Brad Binder,15,10,4
Indonesia,35,Somkiat Chantra,19,23,13
Indonesia,36,Joan Mir,12,5,23
Indonesia,37,Pedro Acosta,5,23,2
Indonesia,42,Álex Rins,4,12,10
Indonesia,43,Jack Miller,14,11,14
Indonesia,49,Fabio Di Giannantonio,11,8,9
Indonesia,54,Fermín Aldeguer,2,2,1
Indonesia,63,Francesco Bagnaia,16,14,23
Indonesia,72,Marco Bezzecchi,1,1,23
Indonesia,73,Álex Márquez,7,4,3
Indonesia,79,Ai Ogura,,,
Indonesia,88,Miguel Oliveira,10,9,11
Indonesia,93,Marc Márquez,9,6,23

Australia,1,Jorge Martín,,,
Australia,5,Johann Zarco,15,23,23
Australia,10,Luca Marini,10,8,6
Australia,12,Maverick Viñales,,,
Australia,20,Fabio Quartararo,1,7,11
Australia,21,Franco Morbidelli,12,15,15
Australia,23,Enea Bastianini,20,9,9
Australia,25,Raúl Fernández,4,2,1
Australia,33,Brad Binder,16,8,8
Australia,35,Somkiat Chantra,17,17,17
Australia,36,Joan Mir,22,11,23
Australia,37,Pedro Acosta,5,3,5
Australia,42,Álex Rins,11,13,7
Australia,43,Jack Miller,3,4,23
Australia,49,Fabio Di Giannantonio,10,5,2
Australia,54,Fermín Aldeguer,7,7,14
Australia,63,Francesco Bagnaia,13,19,23
Australia,72,Marco Bezzecchi,2,1,3
Australia,73,Álex Márquez,6,6,4
Australia,79,Ai Ogura,14,13,13
Australia,88,Miguel Oliveira,14,12,12
Australia,93,Marc Márquez,,,

Malaysia,1,Jorge Martín,,,
Malaysia,5,Johann Zarco,9,8,12
Malaysia,10,Luca Marini,13,23,8
Malaysia,12,Maverick Viñales,,,
Malaysia,20,Fabio Quartararo,4,5,5
Malaysia,21,Franco Morbidelli,3,4,4
Malaysia,23,Enea Bastianini,19,9,7
Malaysia,25,Raúl Fernández,15,13,23
Malaysia,33,Brad Binder,18,16,9
Malaysia,35,Somkiat Chantra,20,17,15
Malaysia,36,Joan Mir,7,23,3
Malaysia,37,Pedro Acosta,5,3,2
Malaysia,42,Álex Rins,10,15,13
Malaysia,43,Jack Miller,11,14,14
Malaysia,49,Fabio Di Giannantonio,8,10,6
Malaysia,54,Fermín Aldeguer,6,7,23
Malaysia,63,Francesco Bagnaia,1,1,23
Malaysia,72,Marco Bezzecchi,14,6,11
Malaysia,73,Álex Márquez,2,2,1
Malaysia,79,Ai Ogura,17,12,10
Malaysia,88,Miguel Oliveira,16,23,19
Malaysia,93,Marc Márquez,,,


